Rank	Word	Count	Frequency
597	sense	34	0.000176
598	effect	34	0.000176
599	seized	34	0.000176
600	weeks	34	0.000176
601	daughter	34	0.000176
602	afraid	34	0.000176
603	everybody	34	0.000176
604	looks	34	0.000176
605	offer	34	0.000176
606	bound	34	0.000176
607	reflection	34	0.000176
608	command	34	0.000176
609	extremely	34	0.000176
610	hear	34	0.000176
611	reply	34	0.000176
612	easily	33	0.000170
613	behalf	33	0.000170
614	perceive	33	0.000170
615	effectually	33	0.000170
616	delivered	33	0.000170
617	high	33	0.000170
618	presence	33	0.000170
619	six	33	0.000170
620	fear	33	0.000170
621	believed	33	0.000170
622	second	33	0.000170
623	given	33	0.000170
624	sum	33	0.000170
625	spoke	33	0.000170
626	water	33	0.000170
627	tell	33	0.000170
628	carry	33	0.000170
629	officer	33	0.000170
630	wine	33	0.000170
631	speak	33	0.000170
632	lordship	33	0.000170
633	england	32	0.000165
634	nose	32	0.000165
635	impossible	32	0.000165
636	duty	32	0.000165
637	pretence	32	0.000165
638	melancholy	32	0.000165
639	age	32	0.000165
640	spite	32	0.000165
641	tongue	32	0.000165
642	stranger	32	0.000165
643	d—n	32	0.000165
644	oakum	32	0.000165
645	landlord	32	0.000165
646	gold	32	0.000165
647	understanding	32	0.000165
648	watch	32	0.000165
649	recommended	32	0.000165
650	gutenberg	31	0.000160
651	attention	31	0.000160
652	happiness	31	0.000160
653	difficulty	31	0.000160
654	favourable	31	0.000160
655	reputation	31	0.000160
656	declared	31	0.000160
657	consent	31	0.000160
658	known	31	0.000160
659	persuaded	31	0.000160
660	glad	31	0.000160
661	design	31	0.000160
662	grew	31	0.000160
663	common	31	0.000160
664	why	31	0.000160
665	giving	31	0.000160
666	number	31	0.000160
667	support	31	0.000160
668	expected	31	0.000160
669	shook	31	0.000160
670	waggon	31	0.000160
671	pardon	31	0.000160
672	perceiving	31	0.000160
673	health	31	0.000160
674	reduced	31	0.000160
675	cot	31	0.000160
676	indignation	30	0.000155
677	imagination	30	0.000155
678	instead	30	0.000155
679	necessity	30	0.000155
680	ceremony	30	0.000155
681	different	30	0.000155
682	twenty	30	0.000155
683	instant	30	0.000155
684	sorrow	30	0.000155
685	enemy	30	0.000155
686	opened	30	0.000155
687	fain	30	0.000155
688	ay	30	0.000155
689	generosity	30	0.000155
690	afternoon	30	0.000155
691	fire	30	0.000155
692	fine	30	0.000155
693	demanded	30	0.000155
694	madam	30	0.000155
695	loss	30	0.000155
696	prospect	30	0.000155
697	don	30	0.000155
698	author	29	0.000150
699	none	29	0.000150
700	employed	29	0.000150
701	devil	29	0.000150
702	violence	29	0.000150
703	whence	29	0.000150
704	servants	29	0.000150
705	retired	29	0.000150
706	leaving	29	0.000150
707	committed	29	0.000150
708	chamber	29	0.000150
709	ladies	29	0.000150
710	pulled	29	0.000150
711	especially	29	0.000150
712	news	29	0.000150
713	prejudice	29	0.000150
714	round	29	0.000150
715	shillings	29	0.000150
716	charge	29	0.000150
717	raised	29	0.000150
718	weazel	29	0.000150
719	object	29	0.000150
720	thanked	29	0.000150
721	deck	29	0.000150
722	strength	28	0.000145
723	trouble	28	0.000145
724	supposed	28	0.000145
725	vain	28	0.000145
726	marriage	28	0.000145
727	ignorant	28	0.000145
728	despair	28	0.000145
729	followed	28	0.000145
730	disappointment	28	0.000145
731	receive	28	0.000145
732	orders	28	0.000145
733	besides	28	0.000145
734	astonishment	28	0.000145
735	noise	28	0.000145
736	adventure	28	0.000145
737	insisted	28	0.000145
738	sufficient	28	0.000145
739	presented	28	0.000145
740	inquire	28	0.000145
741	spent	28	0.000145
742	applied	28	0.000145
743	represented	27	0.000139
744	sudden	27	0.000139
745	approbation	27	0.000139
746	considerable	27	0.000139
747	quality	27	0.000139
748	acted	27	0.000139
749	whither	27	0.000139
750	professed	27	0.000139
751	share	27	0.000139
752	produced	27	0.000139
753	occasioned	27	0.000139
754	proceeded	27	0.000139
755	tis	27	0.000139
756	truth	27	0.000139
757	yes	27	0.000139
758	warrant	27	0.000139
759	alone	27	0.000139
760	inn	27	0.000139
761	pocket	27	0.000139
762	transport	27	0.000139
763	suspicion	27	0.000139
764	intelligence	27	0.000139
765	easy	27	0.000139
766	extraordinary	27	0.000139
767	hoped	27	0.000139
768	tender	27	0.000139
769	considered	27	0.000139
770	crampley	27	0.000139
771	electronic	27	0.000139
772	method	26	0.000134
773	education	26	0.000134
774	signified	26	0.000134
775	others	26	0.000134
776	lodging	26	0.000134
777	bottle	26	0.000134
778	beauty	26	0.000134
779	loaded	26	0.000134
780	third	26	0.000134
781	recovered	26	0.000134
782	boy	26	0.000134
783	degree	26	0.000134
784	knowledge	26	0.000134
785	abroad	26	0.000134
786	attended	26	0.000134
787	change	26	0.000134
788	pieces	26	0.000134
789	street	26	0.000134
790	message	26	0.000134
791	footman	26	0.000134
792	altogether	26	0.000134
793	agreeable	26	0.000134
794	shift	26	0.000134
795	stage	26	0.000134
796	compliment	26	0.000134
797	foundation	26	0.000134
798	mentioned	26	0.000134
799	language	25	0.000129
800	appear	25	0.000129
801	exposed	25	0.000129
802	malice	25	0.000129
803	army	25	0.000129
804	incensed	25	0.000129
805	hair	25	0.000129
806	show	25	0.000129
807	feet	25	0.000129
808	send	25	0.000129
809	mortification	25	0.000129
810	wounds	25	0.000129
811	conducted	25	0.000129
812	pride	25	0.000129
813	says	25	0.000129
814	appointed	25	0.000129
815	gawky	25	0.000129
816	procure	25	0.000129
817	greek	25	0.000129
818	greatest	25	0.000129
819	week	25	0.000129
820	sleep	25	0.000129
821	knowing	25	0.000129
822	passage	25	0.000129
823	fellows	25	0.000129
824	pistols	25	0.000129
825	moment	25	0.000129
826	fair	25	0.000129
827	skin	25	0.000129
828	wagtail	25	0.000129
829	adventures	24	0.000124
830	liberty	24	0.000124
831	low	24	0.000124
832	served	24	0.000124
833	else	24	0.000124
834	station	24	0.000124
835	settled	24	0.000124
836	reserve	24	0.000124
837	wish	24	0.000124
838	threatened	24	0.000124
839	dreadful	24	0.000124
840	suffer	24	0.000124
841	neighbourhood	24	0.000124
842	sometimes	24	0.000124
843	shot	24	0.000124
844	horse	24	0.000124
845	dress	24	0.000124
846	half	24	0.000124
847	silence	24	0.000124
848	voyage	24	0.000124
849	shore	24	0.000124
850	respect	24	0.000124
851	journey	24	0.000124
852	necessary	24	0.000124
853	desiring	24	0.000124
854	ago	24	0.000124
855	assurance	24	0.000124
856	forth	24	0.000124
